Id Number, Age, State, Number of traps, 2018 Revenue,2019 Revenue
71273,62,1,600,140758,98882
9984,33,1,800,143000,116109
8557,27,1,500,95000,75865
7966,47,1,800,348000,112690
7298,61,1,900,415000,313285
67371,32,1,100,106000,71739
1,59,1,850,146000,0
5357,30,1,800,0,216462
5525,32,1,,0,291090
6182,34,1,800,0,272030
8253,58,1,800,0,86915
1073,19,1,840,112000,88879
2376,52,1,800,320000,211397
5311,26,1,950,420000,326692
6261,40,1,800,155000,141041
70621,41,1,900,300000,236210
2544,49,1,850,0,94398
9087,34,1,758,252000,184411
9851,21,1,700,91000,54758
73379,48,1,800,50000,137787
5326,52,1,760,160000,103320
8334,19,1,500,30000,2174
2677,37,2,880,0,0
7064,20,1,500,0,46381
7791,67,1,500,52000,50812
8732,62,1,150,8000,0
98190,59,1,400,23744,18041
7650,49,1,175,9000,15542
9336,65,1,800,0,148900
70461,63,1,360,10295,0
5279,46,1,800,89000,65579
5562,49,1,600,70000,0
5962,40,1,750,48000,45245
7970,60,1,600,85000,65352
9218,46,1,800,125000,78276
4419,27,1,800,0,141557
73233,47,1,600,121000,100120
6896,44,1,900,466690,357899
72485,39,1,800,280000,226804
70993,59,1,900,167000,130099
6153,58,1,1000,420000,301187
3007,35,1,800,100000,62436
6744,56,1,800,230227,178738
8883,46,1,798,105000,0
3873,30,1,550,26000,60966
8049,51,1,803,131490,96980
8411,25,1,850,300000,223629
215,56,1,800,0,95863
4053,59,1,880,262000,194381
5984,39,1,880,401000,303906
7133,41,1,800,310000,124882
4544,36,1,900,240000,130013
71149,53,1,850,335000,249481
1759,67,1,720,0,151427
7895,53,1,800,280000,243023
1516,47,1,800,213000,129419
8019,55,1,800,75000,0
7305,61,1,400,51000,26249
4703,48,1,300,25674,16164
526,50,1,800,70000,57029
11318,40,1,800,320000,0
2816,32,1,200,12000,6284
11925,63,1,600,57004,57256
70736,56,1,800,234000,189431
7856,48,1,720,155000,111669
5574,33,1,450,111975,86598
8094,27,1,800,240000,195226
673,43,1,800,154000,117370
1785,46,1,900,463000,30741
1991,43,1,640,32000,56604
3706,60,1,860,126000,94249
3999,26,1,800,675000,403237
4585,31,1,800,150000,248312
5610,37,1,800,0,0
5907,24,1,800,0,205726
6040,52,1,800,300000,0
6285,65,1,850,454000,327968
6483,30,1,800,286000,304649
7007,38,1,1000,0,292130
9219,56,1,600,0,0
14035,59,1,825,405000,298086
729,41,1,475,185000,114506
1027,40,1,800,144000,170088
1161,30,1,900,0,308943
2521,27,1,800,28000,80169
2626,63,1,1000,0,180122
3042,50,1,600,147000,110569
3348,21,1,700,200000,124262
6030,68,1,800,40000,46501
7176,51,1,800,200000,144419
7570,34,1,800,96000,87742
7599,62,1,800,34500,24707
8469,24,1,675,103000,82424
8795,54,1,840,0,0
9140,65,1,800,24000,63748
9487,50,1,800,0,213383
9707,36,1,850,0,266746
10561,20,1,350,20000,0
99479,42,1,600,125000,0
644,31,1,720,0,0
1446,41,1,700,0,57674
5176,41,1,800,265000,193882
5707,41,1,500,0,0
5747,20,1,500,28000,10985
6586,59,1,800,30000,103935
6622,18,1,300,3000,17252
7248,25,1,800,166000,123187
8074,44,1,400,40000,0
9859,43,1,800,40000,130105
10531,24,1,700,160000,121785
14860,26,1,700,0,118999
70241,44,1,800,250000,190173
2,75,1,800,0,0
687,56,1,800,50000,191859
3317,75,1,250,0,3886
6054,45,1,300,0,13306
7854,28,1,800,30000,91692
56631,71,1,100,0,1825
67151,,1,600,200000,100742
70977,75,1,450,11000,0
665,59,1,300,0,11121
1983,45,1,600,45000,50188
2411,90,1,50,4000,1801
2646,40,1,600,27000,28854
2939,43,1,850,11500,30275
3089,56,1,501,50000,55210
3417,38,1,500,27000,12416
3824,43,1,800,29900,17322
5756,18,1,100,4600,11
6606,18,1,400,10000,6303
8403,67,1,195,11500,0
8714,54,1,1000,22000,61868
8876,47,1,400,8000,0
9455,54,1,800,0,96033
9740,26,1,350,0,0
13008,83,1,140,16000,7431
18846,63,1,125,1600,7053
99264,39,1,700,80000,53353
3,45,1,800,0,0
6275,34,1,825,247000,180777
2130,39,1,900,589533,0
7915,49,1,650,121000,70564
4232,64,1,105,6524,0
6056,62,1,250,9500,0
5586,70,1,100,0,0
11760,18,1,90,4900,2445
8633,41,1,450,29500,9130
1409,24,1,170,8300,5705
9583,19,1,400,9500,6925
1961,69,1,250,0,13303
5329,26,1,400,92000,67046
1229,34,3,150,1000,0
6278,29,1,400,1300,0
299,66,3,580,15000,0
5863,53,2,600,29640,0
8894,26,1,600,51000,34174
1088,51,3,500,43061,0
11456,21,1,250,26000,12330
5888,34,2,800,58000,0
9610,55,1,350,0,11337
8039,64,1,300,40000,5121
7492,46,1,800,0,0
4,59,1,750,64000,0
4832,37,1,600,149000,0
98714,48,1,820,225000,0
5966,39,1,800,102000,108201
6940,68,1,620,67513,0
5754,47,1,800,135000,126451
2898,73,1,300,32000,16923
2043,40,1,800,309880,220442
5400,29,1,600,100000,63174
2995,47,1,600,163000,139724
11332,36,1,900,345000,0
3543,60,1,900,50000,0
70268,51,1,600,297250,0
5892,44,1,600,0,113102
8540,61,1,800,126000,0
72497,54,1,870,100000,74080
10012,38,1,1100,148500,122877
8918,53,1,1200,158000,0
70142,61,1,600,115400,0
12417,64,1,700,260000,0
1909,30,2,950,30000,0
2616,38,1,600,140000,107554
8041,58,1,800,135000,0
3968,46,1,600,190000,38507
8296,27,1,765,153000,114501
11737,55,1,800,35000,0
1008,25,1,500,49000,28213
733,66,1,800,116000,96169
15255,21,1,200,20000,11774
8365,36,1,800,337000,206641
4213,50,2,1060,423535,117032
5417,59,2,900,350000,2297
7028,47,1,900,77000,0
4928,38,1,600,97000,65766
8262,57,1,1800,118000,0
7488,59,1,800,352000,0
5814,68,1,300,52500,0
362,52,1,800,150000,29216
18,52,3,1300,88000,0
9642,63,1,680,63000,0
2422,27,1,800,133000,98146
70838,45,1,800,180000,203256
5780,52,1,800,165237,130801
783,37,3,300,2500,0
3055,67,2,800,133000,2748
2232,72,2,850,143915,153
623,57,1,850,0,107997
7011,28,1,850,76000,43067
127,25,1,800,0,217598
1189,37,1,800,310000,248464
1292,56,1,650,15000,938
1382,54,1,1000,225000,163628
2017,55,1,1000,50000,98153
6806,40,1,600,98000,72499
6921,33,1,500,85000,40577
7612,38,1,1000,480000,351789
7878,29,1,500,250000,73291
72985,48,1,500,0,22353
5,59,1,786,160000,0
6388,46,2,1500,0,0
310,60,2,900,200000,0
872,66,2,1000,0,0
1231,63,2,900,0,22135
2525,48,2,800,257000,0
4969,67,2,600,97000,0
302,46,1,550,100000,37893
939,68,1,840,105000,80073
995,53,1,900,180000,0
1081,51,1,880,142000,59687
1138,57,1,600,28000,91027
1238,49,1,800,127500,125021
1269,61,1,900,0,183854
3804,40,1,800,202500,17897
4716,40,1,840,160000,140308
5274,29,1,800,220000,189203
5320,63,1,800,86000,85900
5398,55,1,800,206800,0
5708,64,1,700,32000,29294
6024,55,1,900,108000,62639
6060,59,1,300,48000,4231
6384,55,1,320,20000,267
6965,63,1,600,20000,45088
7224,68,1,1050,155000,0
8237,19,1,300,31000,9744
8869,66,1,800,250000,228302
9205,29,1,750,130000,105720
12473,54,1,800,135000,0
12771,69,1,600,55000,0
13841,63,1,600,30000,0
70473,43,1,600,125000,158260
71592,49,1,800,0,0
73042,53,1,900,300000,247749
99230,48,1,800,130000,68534
246,64,3,600,86000,0
459,75,1,240,84000,0
748,70,1,300,0,15937
2358,62,1,900,118000,86137
3455,55,1,590,94000,75019
4331,71,1,350,33000,0
4476,26,1,800,305000,206702
6823,40,1,1200,393000,304393
7632,55,1,1100,108000,0
8020,56,1,475,160000,192644
9532,52,1,800,90000,94804
9867,43,1,800,135000,55591
11640,64,1,475,0,102822
13114,67,1,400,30000,28427
71037,59,1,800,40000,0
98295,51,1,800,142000,104230
14,50,3,600,67000,0
679,73,1,800,0,45087
970,69,1,800,96918,72745
2335,67,1,500,0,0
3316,23,1,800,0,16102
4320,32,1,780,175000,133530
4664,51,1,600,90000,0
7590,59,1,600,10000,53144
9078,39,1,400,0,6383
9271,70,1,705,50000,0
17338,76,1,360,33000,0
427,38,2,800,67000,0
34,62,3,530,38041,0
504,36,3,450,0,0
1196,52,1,700,0,19965
1696,29,1,800,165000,0
2179,50,1,600,0,25479
3275,43,1,675,70953,53930
3780,58,1,500,0,11605
3900,74,1,500,58000,10717
5069,21,1,400,74000,30201
5535,32,1,300,50000,9489
7085,30,1,600,75000,41930
7341,47,1,800,108000,0
7556,52,1,400,42200,0
8353,57,1,550,40000,0
9137,54,1,500,0,34261
64011,81,1,500,0,0
71835,52,1,600,71000,0
98252,81,1,300,6000,0
6,66,1,200,7500,0
856,42,3,300,15000,130462
900,53,3,270,16400,0
1108,22,3,400,6000,3048
8345,52,1,800,175000,138208
7,32,3,250,14500,0
7201,33,1,800,100000,97738
2070,43,1,792,81000,57214
5329,26,1,400,90000,67046
1510,30,1,800,87000,53500
7937,49,1,320,26000,63196
7138,49,1,750,60000,48237
13241,52,1,800,252000,126321
566,55,1,850,221284,159285
2502,45,2,500,21200,637
4109,47,1,600,0,46288
9169,25,1,630,85000,35633
1248,56,1,1080,0,153194
4103,50,1,800,135000,105505
532,33,1,600,0,71638
1758,27,1,800,0,106237
2035,47,1,600,100000,52307
5939,49,1,800,215000,134287
6270,54,1,550,54000,44097
7921,40,1,600,0,12240
8362,27,1,550,134000,72087
98559,57,1,900,195000,153691
2157,59,1,650,0,42069
3716,25,1,600,24000,33659
1272,31,1,600,61000,33117
1519,24,1,800,0,78499
2707,57,1,600,83000,65311
3597,43,1,600,0,79290
6773,20,1,1050,156000,92900
9550,29,1,400,37000,3145
72709,54,1,500,47000,0
72871,44,1,400,25000,21285
98422,49,1,800,108000,72533
8,45,1,500,127011,0
1538,58,2,800,0,0
9724,50,1,800,115000,0
5441,45,1,600,250000,165070
169,56,1,1000,145700,113543
1201,24,1,900,320000,160966
9,53,1,860,212500,0
10,73,2,300,17200,0
7010,64,2,500,47675,0
7108,58,2,1000,28000,0
3637,64,2,345,49500,0
2289,68,2,850,109000,0
11,55,2,660,82000,0
7496,25,1,900,0,89981
6052,56,2,400,64000,0
8709,28,1,800,110000,101965
4468,61,2,1000,155000,0
12,39,1,800,400000,0
713,56,2,1000,176635,0
2282,53,2,900,140000,0
3830,56,2,820,170000,0
13,37,2,500,55000,0
2567,56,2,1000,170000,83267
2672,30,2,800,287000,0
1574,28,2,900,292500,0
9518,18,1,100,8100,5352
8774,54,1,800,0,118573
1308,60,3,250,11500,0
902,32,1,800,0,158353
932,33,1,800,233000,0
3214,34,2,800,37142,0
4268,67,2,900,0,167531
4802,51,2,800,95000,0
5381,61,2,800,202000,0
5428,54,2,880,242000,20305
15,55,2,900,250,0
49,69,3,1200,0,0
2683,53,1,788,30000,85899
12930,63,1,1000,275000,169622
98300,53,1,1000,50000,144645
5340,46,2,800,110000,0
1451,60,1,800,67500,48974
9052,81,1,775,0,136516
1376,55,2,900,25000,0
1911,38,2,650,0,570
17145,64,2,400,11000,0
1301,52,1,400,0,11891
6814,55,1,1100,107000,66974
9705,56,1,600,0,43659
1501,45,2,800,20000,0
5583,64,2,250,1100,0
5953,68,2,800,20000,0
5804,64,2,450,81000,80261
6691,18,2,300,25723,5087
9696,56,2,375,22500,0
16,25,2,,0,0
12681,44,1,800,427000,302220
2582,56,1,300,26000,22943
8284,27,1,300,53733,40902
2632,38,1,780,112400,110993
10011,23,1,800,320000,208859
9522,39,1,100,5400,310
1551,45,1,600,40000,17417
9527,35,1,900,179084,137465
3356,69,1,1100,200000,137466
2348,62,1,850,149000,110561
99777,52,2,800,15000,0
7996,69,1,800,136000,89600
2947,55,2,660,82000,0
162,24,1,900,351000,254680
937,29,1,950,300000,343288
1236,60,1,840,443000,256879
3473,33,1,800,374000,216253
6181,42,1,800,200000,108564
8143,52,1,600,178000,115871
8355,68,1,800,50000,160408
9360,58,1,800,185000,131778
80,62,3,1150,169000,0
1282,50,1,900,363471,262929
1701,35,1,800,0,0
1740,72,1,325,46000,33754
1756,56,1,800,264000,227906
2430,30,1,800,0,327457
3484,67,1,700,105500,92788
4806,68,1,800,0,37531
5858,83,1,500,60000,0
6747,58,1,800,180000,113021
7523,54,1,800,130000,96812
8119,40,1,900,202000,158017
10191,36,1,800,200000,0
37100,63,1,800,30000,86274
70596,34,1,800,0,81221
1231,70,1,800,0,22135
3236,34,1,600,250000,153553
5186,25,1,660,0,85464
5922,55,1,800,200000,194369
6626,61,1,700,69000,73372
70111,30,1,400,33000,0
5729,65,1,800,74000,69855
5900,39,1,800,45000,21931
6363,49,1,480,76350,74732
11478,51,1,400,0,0
6150,57,2,1000,100000,0
488,39,1,500,50000,45409
1411,66,1,500,64500,46307
4575,52,1,820,38000,128506
7353,50,1,800,40000,6088
6746,77,1,300,5930,17996
8630,77,1,800,78000,58173
1642,53,1,800,108000,93002
1274,58,1,800,188637,134708
1708,24,1,1000,390000,393013
17,42,3,500,32021,0
11228,63,1,600,100000,0
26,58,3,1300,228000,0
1303,52,1,800,261000,184707
1471,48,2,600,1200,0
375,61,3,600,3500,0
295,40,1,800,0,406401
126,35,2,1000,235000,0
8606,68,1,850,0,171898
19,61,2,700,77000,0
7173,66,1,600,5500,5376
6210,32,1,800,0,205925
6330,32,1,800,147000,74239
4255,28,1,500,110000,58267
3034,31,1,580,69000,38501
2457,34,1,800,190000,127589
2479,48,1,800,240000,181824
4599,57,1,800,210000,181985
4625,37,1,800,615000,379677
6462,62,1,810,160000,126408
7657,71,1,800,40000,128472
8274,50,1,800,450000,294152
8276,54,1,900,225000,189864
11313,51,1,800,30000,87214
2109,58,2,900,177000,70737
2172,50,2,860,200000,0
6419,42,2,1050,117000,0
3602,18,1,100,15000,9186
3639,93,1,800,0,16862
4884,55,1,900,255000,175834
5171,40,1,800,0,131193
6341,70,1,800,13000,39320
9654,60,1,780,0,88434
12724,61,1,1100,0,129302
1537,63,2,400,5500,0
3965,29,2,800,180000,0
3835,43,1,800,260000,289854
4946,49,1,1000,189000,0
8899,53,2,1000,209000,0
