Id Number, Age, State, Number of traps, 2018 Revenue,2019 Revenue
2662,60,1,700,100000,27898
3790,58,1,800,88000,0
10410,35,1,800,400000,196800
72648,48,1,700,14000,41132
657,52,2,500,34000,0
2386,66,1,300,15000,10660
4881,22,1,300,0,2494
6009,51,1,520,63000,36025
80981,67,1,525,24000,15849
4950,35,1,800,185000,118718
724,55,1,700,0,40189
5454,24,1,400,20000,15559
14216,62,1,800,136966,108834
9411,75,1,300,5200,3235
13093,57,1,85,9000,5668
6496,47,1,700,42000,17721
20,48,1,800,5400,0
4417,53,1,700,34742,21989
9378,59,1,700,65000,42169
72404,48,1,700,52000,0
1114,59,1,600,45000,24913
6917,69,1,485,127000,93961
7401,77,1,800,0,16328
4071,36,1,800,35000,42846
21,48,1,800,93660,0
763,51,1,600,130000,115374
467,58,1,550,0,97303
1571,68,1,750,0,41018
6625,31,1,800,0,121270
72343,69,1,500,0,48467
2751,61,1,600,15000,71878
2253,67,1,510,114000,62330
130,56,1,800,260000,207949
1293,50,1,550,0,89825
4396,18,1,800,220000,80083
5973,62,1,900,369000,270811
7830,53,1,900,280000,173736
7464,68,1,650,122000,157353
6478,32,1,800,0,250616
2501,45,1,800,157000,121368
3611,46,1,1100,329000,223357
5971,61,1,600,0,196096
1697,47,1,300,5000,7299
6080,60,1,800,166000,242749
9213,71,1,850,250000,205707
10741,64,1,500,16250,613
486,51,1,1150,0,149672
4945,35,1,900,257000,162462
7177,72,1,950,0,53931
4954,23,1,450,52000,824
70469,34,1,800,220000,147372
2909,39,1,800,75000,55701
6693,27,1,300,61000,0
9732,22,1,550,94000,57884
7369,27,1,700,50000,33980
1691,,1,800,185000,159253
1525,46,1,800,194000,128909
5630,44,1,41,4000,5492
4512,50,1,800,215000,171192
8924,73,1,113,2000,2944
72957,70,1,300,0,0
2809,52,1,200,1200,2671
72765,54,1,150,6635,0
421,36,3,300,0,0
545,55,3,600,0,0
1020,27,3,300,1100,0
6691,76,1,175,6599,5087
3133,58,1,400,40000,7993
3322,55,1,350,15235,11231
94,61,3,400,49500,25011
1314,55,3,200,6400,0
2461,56,1,700,43000,0
4283,41,2,450,47000,0
73382,50,1,400,26000,17305
7994,58,2,500,0,40180
3857,51,1,600,163000,60435
3379,66,1,500,95000,0
7802,43,1,400,2500,3673
508,23,3,600,0,0
5469,50,1,800,0,0
7563,53,1,600,140000,0
99611,42,1,800,100000,0
39431,76,1,650,0,0
2108,48,2,600,15000,0
4595,35,2,850,30000,121842
1902,62,1,800,160000,72859
9390,56,1,800,166000,130560
3168,50,1,500,85000,0
3775,42,2,880,149000,0
928,20,1,850,100000,35858
2108,48,2,600,75000,0
5219,44,2,760,64083,0
514,55,2,800,195000,0
5155,28,1,1000,158000,121265
3456,51,1,800,170000,114307
1365,41,1,800,0,153806
6257,52,1,800,189000,0
5209,60,2,880,145000,0
7258,47,1,400,3000,2030
5050,64,1,750,48000,18174
1844,55,1,400,40000,3663
10060,50,1,500,32500,17176
442,,2,800,22000,0
7184,55,1,600,73000,0
469,61,1,600,82000,54230
2299,69,1,800,0,37632
175,45,3,600,70000,0
1982,29,1,700,65000,37738
1859,64,1,550,65100,39606
1342,61,1,520,0,37870
3858,44,1,600,0,44624
1615,52,1,400,49000,48864
3759,50,1,850,245000,0
5921,35,1,800,37000,113644
1226,39,1,600,60000,73696
10048,52,1,800,50000,0
119,65,3,1200,0,12825
556,54,1,800,471000,323728
3518,39,1,600,56000,56800
3794,62,1,600,76000,64387
5948,18,1,190,4800,1116
3713,55,1,350,53399,42757
7742,54,1,800,25000,3511
559,65,1,200,0,1373
2727,55,1,750,29209,16631
2733,56,1,750,35400,0
8743,20,1,450,22000,551
7526,65,1,600,247000,179009
10899,19,1,430,80000,43243
99136,51,1,1000,100000,92912
3531,64,1,800,157000,119520
148,45,1,825,205000,211678
1863,70,1,800,114000,276742
251,35,1,800,63000,131598
4117,46,1,800,308000,231611
7115,47,2,800,130000,0
15994,52,1,800,50000,24887
847,18,1,500,7000,2876
1363,60,2,200,5200,0
2486,56,1,30,1500,0
4909,71,2,350,10700,0
3778,75,1,500,74000,60224
434,63,1,650,27000,0
241,61,2,650,53000,13468
771,70,1,100,14300,6646
2699,63,2,250,6100,0
5623,53,2,300,18736,0
9982,22,1,647,122543,73822
915,23,3,550,100000,0
5868,56,1,780,0,94729
17145,64,2,400,10000,0
6516,18,1,450,60000,59808
256,60,2,800,60000,0
5536,49,2,800,145000,0
853,55,1,700,93244,65982
17450,51,2,700,115000,0
2734,59,1,900,170000,128446
17283,72,2,805,143915,0
4648,43,2,800,167000,0
23,77,1,850,60000,0
5651,41,2,550,83000,310
1760,18,1,225,15300,7654
812,71,2,800,16000,96318
108,20,1,600,38000,12164
72078,49,1,800,8500,27989
4488,47,1,800,0,266904
3270,51,1,800,354000,156812
702,68,1,500,40000,20719
2515,49,1,700,42000,24954
2025,87,1,33,4799,2887
7280,69,1,300,15000,0
99030,53,1,800,80000,0
72202,66,1,400,11845,0
9878,62,1,500,5000,11780
5972,51,2,700,23000,0
98530,70,1,400,30090,22106
228,66,1,300,17500,15941
9185,73,1,400,21000,20361
9075,45,1,800,0,84773
7027,63,1,800,194000,128190
7508,38,1,800,248000,232679
2433,65,2,400,37000,0
22,56,1,800,270000,195667
113,56,1,800,390000,275123
236,69,1,820,0,88090
498,57,1,900,0,200606
498,58,1,880,260002,200606
1436,55,1,800,200000,0
1583,37,1,800,310000,260654
1951,71,1,890,0,0
1952,46,1,800,15000,0
2740,50,1,800,70000,66363
785,48,1,1200,185000,140083
3578,43,1,800,0,200153
3949,46,1,850,0,192544
4720,42,1,900,195000,105526
4853,38,1,800,0,0
5034,31,1,900,300000,319760
5224,34,1,1000,0,468954
5273,28,1,,0,210941
5390,45,1,600,0,0
5989,18,1,900,647000,0
6142,50,1,800,280000,115114
6421,65,1,800,275000,161938
6737,57,1,800,72000,28550
6841,51,1,800,270000,178606
7779,65,1,800,65000,39126
7803,42,1,700,60300,47808
8302,53,1,800,0,182088
812,30,1,800,0,263989
9812,72,1,830,30000,125616
9828,37,1,800,50000,134220
70132,42,1,400,7000,1020
72601,43,1,800,218000,0
99081,54,1,800,172000,130089
24,24,1,900,105000,0
126,35,2,1000,0,0
381,53,2,800,74600,0
1201,47,2,1300,57000,160966
1722,23,2,800,40000,0
1777,61,2,1000,464000,1300
2041,49,2,800,0,0
2273,56,2,800,243000,0
2527,74,2,,0,0
3065,61,2,800,0,0
764,45,2,840,0,0
9231,69,2,950,163000,0
16650,69,2,1538,0,0
17283,72,2,805,143915,0
84640,62,2,300,0,0
25,67,2,600,0,0
58,76,3,700,0,0
82,48,3,1000,0,0
308,69,1,550,11000,31259
453,49,1,750,200000,148888
643,57,1,800,230000,157043
695,68,1,800,0,0
982,27,1,800,177000,226915
1070,34,1,725,63000,204950
1256,43,1,800,190000,137302
381,67,1,800,0,57337
1448,45,1,800,0,211678
1570,61,1,820,0,61896
1800,70,1,450,0,1284
1962,42,1,500,135000,147834
2291,81,1,600,0,27310
2450,40,1,730,23000,72928
2538,53,1,600,45000,169274
268,63,1,400,85000,41267
3083,65,1,500,80000,22005
3542,35,1,800,43000,56745
4137,31,1,500,106000,0
4534,32,1,400,69000,0
4565,27,1,880,0,119436
4696,44,1,880,340000,263825
5058,65,1,800,28000,82773
5320,63,1,800,0,85900
5364,63,1,800,0,69574
5519,39,1,900,0,59603
5657,56,1,700,70000,33703
574,61,1,800,30000,0
6791,56,1,450,334000,2146
6874,51,1,800,20000,48927
6990,39,1,800,170000,110785
7214,63,1,800,0,237671
7244,22,1,800,105000,76546
726,62,1,700,45000,42201
7324,51,1,850,0,0
7476,27,1,800,185000,97033
7511,24,1,700,0,147154
7541,33,1,600,110000,79756
7797,61,1,900,320000,98987
799,44,1,800,220000,135973
7977,46,1,800,197000,152218
8036,59,1,700,115000,48766
803,41,1,200,0,0
868,69,1,500,165000,120810
8301,57,1,700,145000,0
893,55,1,800,90000,91152
8976,54,1,800,112000,0
9113,38,1,1000,449000,149095
916,61,1,980,0,0
965,81,1,900,0,132055
9468,42,1,800,197000,97067
9656,84,1,800,20000,29786
948,37,1,792,102000,74084
1866,51,1,470,88000,62264
70434,43,1,800,117152,0
99659,46,1,800,110000,77694
26,38,1,800,148000,0
27,51,1,850,315000,0
48,25,2,400,0,184930
2055,57,2,800,27000,594
2068,70,2,300,5000,0
3092,51,2,880,135000,0
3361,65,2,700,70000,0
397,80,2,500,23000,0
3683,65,2,800,152000,0
28,49,2,250,0,0
91,30,3,450,1100,0
67,52,1,500,12600,20092
521,63,1,800,111000,0
527,21,1,200,16000,13368
551,57,1,500,172000,170661
621,35,1,525,149000,186339
747,56,1,400,0,24566
1005,39,1,940,0,128104
1532,31,1,700,200000,0
1746,,1,700,0,27081
210,73,1,330,11000,48934
2487,30,1,600,36000,36589
2666,63,1,800,0,107482
2687,72,1,450,51000,31151
2741,22,1,400,10000,13468
4044,64,1,860,52000,128530
4080,31,1,575,77000,53329
4148,64,1,775,75000,55232
4223,37,1,700,37000,11859
446,46,1,800,0,4469
4595,75,1,800,162000,121842
5033,25,1,800,40000,72352
5543,60,1,800,172000,125920
5792,49,1,500,0,7798
5931,47,1,700,113000,82919
603,77,1,300,0,4055
6320,56,1,900,45000,41596
6780,70,1,700,147500,85682
6918,54,1,800,0,57450
7015,45,1,500,80000,51339
7070,19,1,500,0,31678
711,65,1,600,57000,0
7323,66,1,800,65000,46091
7649,59,1,400,36200,0
7761,50,1,800,19355,58682
8065,47,1,900,0,108819
8083,53,1,800,240000,169423
886,76,1,800,0,0
8695,58,1,600,0,5814
8746,65,1,600,20000,8630
8818,83,1,800,15000,28578
9138,25,1,600,105000,68850
9201,49,1,1000,0,157240
908,42,1,800,155500,150559
9564,32,1,800,190000,61333
9852,59,1,750,45000,35548
10043,75,1,800,0,0
21531,52,1,800,130000,111687
70334,72,1,350,5000,13919
7022,49,1,400,0,1350
72448,51,1,800,50000,75928
73543,57,1,790,20000,0
99619,58,1,700,30000,59800
49,51,2,800,64000,0
2751,61,2,400,47000,0
2757,33,2,800,0,0
3606,60,2,800,92000,0
507,61,2,600,86000,0
9557,38,2,300,10000,17426
292,75,1,999,32400,101620
355,63,1,250,18000,8349
39,65,1,800,41000,19924
989,37,1,700,0,43267
1141,77,1,400,15000,11653
1153,75,1,725,75748,53195
1166,70,1,600,23000,21230
1494,67,1,430,0,21732
121,54,1,600,90000,96191
1711,23,1,600,0,69779
1834,57,1,800,25000,31449
2147,44,1,800,130000,88781
2162,32,1,,0,53158
2307,68,1,500,0,5853
2702,78,1,400,27000,16708
2837,73,1,600,29749,33708
3059,71,1,800,0,43639
3119,18,1,800,47000,108376
3145,70,1,800,0,650
3461,45,1,800,149800,106343
3470,,1,,4800,2512
3588,48,1,800,88000,73437
3658,42,1,900,200000,172280
4105,50,1,800,0,97305
4182,47,1,400,0,63167
411,77,1,300,24000,259989
4556,30,1,800,422000,256012
4899,38,1,600,32000,47347
4934,67,1,1000,86000,100602
4990,87,1,800,63000,0
5045,63,1,800,40000,30244
5501,52,1,800,0,54389
5666,82,1,200,0,3043
5732,27,1,200,0,4527
5757,75,1,250,0,6524
5869,18,1,700,24000,0
6069,84,1,400,320000,16980
6347,48,1,,0,0
6863,53,1,800,16000,97079
644,68,1,160,0,18687
7295,42,1,800,19000,68260
7317,69,1,340,46000,39771
7336,,1,800,0,78543
7506,27,1,500,61000,7598
7705,74,1,200,3000,0
7711,90,1,200,0,7589
7784,80,1,440,0,45888
883,46,1,500,0,27277
8188,34,1,800,187000,120536
8343,42,1,800,30000,490
8632,48,1,480,54000,40269
8708,76,1,600,97000,0
9114,44,1,880,175000,136996
9139,29,1,500,0,97493
9259,67,1,350,0,398
9425,36,1,600,32000,26185
9494,53,1,800,80000,37398
10249,67,1,700,0,58710
1198,42,1,650,0,0
12917,55,1,400,15000,0
17113,60,1,600,45000,0
20081,50,1,800,50000,101775
70279,47,1,700,40000,34187
70536,63,1,550,0,11930
72864,47,1,,0,3960
98543,58,1,750,35000,0
98638,75,1,600,0,30467
99563,53,1,720,0,85029
29,63,1,350,8000,0
30,47,1,500,0,0
31,36,1,800,99000,0
1279,59,2,520,18000,0
2076,67,2,170,0,0
2288,73,2,300,25904,0
2355,40,2,450,20000,0
2729,60,2,513,39087,0
2773,39,2,880,0,0
5295,67,2,500,0,3232
598,57,2,300,0,0
105,56,3,500,0,0
211,54,3,800,15000,0
143,50,1,300,460000,0
161,21,1,250,20000,4669
757,63,1,100,1500,1621
804,70,1,600,15000,10054
805,,1,,5900,0
922,60,1,342,36000,20306
1125,18,1,445,0,50228
1312,42,1,600,85000,55981
1658,76,1,400,0,5235
151,74,1,300,18000,0
2032,64,1,100,28800,4983
2066,58,1,300,0,3134
2111,32,1,400,5500,4314
2948,45,1,600,45000,28554
3141,65,1,400,12000,11422
3150,70,1,400,6000,0
3158,36,1,800,108000,70612
3357,25,1,500,0,955
3614,19,1,50,0,0
3705,41,1,350,19000,12235
3739,,1,150,1500,26200
442,23,1,300,0,8515
4630,55,1,300,22000,15197
4874,63,1,750,465000,0
932,18,1,100,12500,16289
4962,54,1,135,31000,18507
5017,27,1,600,55000,208
5043,25,1,125,0,5860
5203,27,1,450,46000,6001
537,56,1,230,396000,8690
5516,18,1,300,12100,11319
5675,77,1,500,27000,55289
680,37,1,900,210000,134349
6886,53,1,400,0,0
6898,64,1,515,50000,45167
7383,44,1,400,0,18608
705,28,1,500,60000,198976
7754,,1,150,1500,70773
7981,65,1,200,0,25035
8077,59,1,350,31000,28418
8129,69,1,400,50000,40345
8312,39,1,700,85000,72620
8544,77,1,500,0,0
8837,66,1,450,0,32212
8917,71,1,500,3500,12468
8930,36,1,330,19000,16706
9066,48,1,150,11000,9403
9251,21,1,250,13000,13461
9370,57,1,400,0,35144
9405,38,1,600,0,32636
9420,53,1,300,26500,15748
10062,74,1,200,0,1925
10366,31,1,800,145000,96681
11305,51,1,1500,20000,36140
14895,73,1,450,1095,6848
26827,51,1,800,60000,0
70182,40,1,356,22000,20846
7016,64,1,175,4000,0
71024,50,1,350,0,20523
72843,59,1,600,13000,0
7867,62,1,550,4000,0
72882,83,1,180,0,7505
33,44,1,250,0,0
3931,66,2,180,0,0
5767,69,2,300,40000,0
7183,49,2,400,35000,50584
23,37,3,225,4000,0
704,65,3,600,60000,21808
145,40,3,600,60000,40996
1123,66,3,600,6500,0
1205,56,3,150,0,238754
34,37,3,250,0,0